timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-02-11,78.12,83.5,77.87,83.05,1.7269,17990,0.0,1.0
2010-02-12,80.79,84.11,80.32,83.39,1.7339,44780,0.0,1.0
2010-02-16,85.35,86.815,84.01,86.62,1.8011,50082,0.0,1.0
2010-02-17,87.78,88.11,86.4571,88.09,1.8317,99878,0.0,1.0
2010-02-18,88.0,90.29,87.47,89.76,1.8664,202130,0.0,1.0
2010-02-19,89.15,90.93,88.47,89.76,1.8664,242088,0.0,1.0
2010-02-22,90.82,90.82,88.12,89.13,1.8533,132821,0.0,1.0
2010-02-23,88.6401,89.12,84.47,85.65,1.7809,214150,0.0,1.0
2010-02-24,87.16,89.25,86.69,88.24,1.8348,183912,0.0,1.0
2010-02-25,85.42,88.795,83.71,88.19,1.8338,237371,0.0,1.0
2010-02-26,87.93,89.66,87.06,89.29,1.8566,150009,0.0,1.0
2010-03-01,90.42,93.5,90.42,93.1201,1.9363,74095,0.0,1.0
2010-03-02,93.94,95.7,93.43,93.68,1.9479,126156,0.0,1.0
2010-03-03,94.73,95.55,93.29,94.2,1.9587,124883,0.0,1.0
2010-03-04,94.53,95.37,93.06,95.24,1.9803,76663,0.0,1.0
2010-03-05,97.27,99.89,96.75,99.45,2.0679,69955,0.0,1.0
2010-03-08,99.54,100.7,99.54,99.98,2.0789,65984,0.0,1.0
2010-03-09,99.43,103.31,99.35,101.75,2.1157,120877,0.0,1.0
2010-03-10,101.89,104.86,101.82,104.24,2.1675,104310,0.0,1.0
2010-03-11,103.61,105.3464,102.92,105.2,2.1874,140302,0.0,1.0
2010-03-12,106.36,106.36,104.23,105.44,2.1924,94047,0.0,1.0
2010-03-15,104.74,105.45,102.5,104.73,2.1777,110330,0.0,1.0
2010-03-16,105.7585,107.01,104.66,106.71,2.2188,121237,0.0,1.0
2010-03-17,107.01,108.97,106.56,107.45,2.2342,103630,0.0,1.0
2010-03-18,107.82,108.88,107.11,108.54,2.2569,135892,0.0,1.0
2010-03-19,109.73,109.73,105.48,106.62,2.217,104216,0.0,1.0
2010-03-22,105.37,110.78,104.97,109.5,2.2769,153008,0.0,1.0
2010-03-23,110.25,112.03,108.54,111.79,2.3245,144007,0.0,1.0
2010-03-24,111.0,111.24,109.5,110.2,2.2914,232331,0.0,1.0
2010-03-25,112.7,114.07,109.42,109.51,2.2771,244573,0.0,1.0
2010-03-26,111.07,112.19,108.35,110.08,2.2889,219473,0.0,1.0
2010-03-29,111.74,112.73,110.77,111.59,2.3203,99059,0.0,1.0
2010-03-30,112.51,113.73,110.47,112.76,2.3446,103865,0.0,1.0
2010-03-31,111.5,113.0,110.47,111.24,2.313,155022,0.0,1.0
2010-04-01,112.48,114.63,108.53,111.02,2.3085,303645,0.0,1.0
2010-04-05,111.83,114.9,111.0,114.23,2.3752,175929,0.0,1.0
2010-04-06,113.36,116.14,112.64,115.1,2.3933,152842,0.0,1.0
